,Area,All usual residents aged 16-74 in employment,15 hours or less,16 to 30 hours,31 to 48 hours,49 or more hours
0,Barking and Dagenham,75217,6745,15078,46263,7131
1,Barnet,170658,17500,31467,95329,26362
2,Bexley,110159,10148,20235,66690,13086
3,Brent,147461,13578,27679,87987,18217
4,Bromley,151368,14237,26162,88330,22639
5,Camden,108966,9690,15239,58926,25111
6,City of London,4747,260,418,2252,1817
7,Croydon,172987,15215,31605,105866,20301
8,Ealing,164820,13592,27512,101193,22523
9,Enfield,137622,13616,28540,79245,16221
10,Greenwich,117821,10420,21222,69660,16519
11,Hackney,118556,9974,22546,67993,18043
12,Hammersmith and Fulham,99618,7074,12156,57191,23197
13,Haringey,124296,10893,23865,72247,17291
14,Harrow,113900,10835,21103,67397,14565
15,Havering,112846,10760,20158,67861,14067
16,Hillingdon,130290,12259,22475,79923,15633
17,Hounslow,127032,10703,21169,78585,16575
18,Islington,106765,7790,14494,61581,22900
19,Kensington and Chelsea,81387,5949,10015,36875,28548
20,Kingston upon Thames,81957,8460,13695,47188,12614
21,Lambeth,166494,11298,23883,102572,28741
22,Lewisham,136057,11762,24660,82036,17599
23,Merton,104822,8316,16848,63103,16555
24,Newham,132454,14697,29883,75272,12602
25,Redbridge,124692,11817,23842,73182,15851
26,Richmond upon Thames,99204,8813,14668,54424,21299
27,Southwark,147388,11455,23310,86853,25770
28,Sutton,97658,8632,16973,59518,12535
29,Tower Hamlets,120873,9895,20014,67532,23432
30,Waltham Forest,121021,10793,23069,73926,13233
31,Wandsworth,178582,11290,21047,106837,39408
32,Westminster,111179,7640,13917,54879,34743
